Time,Position,Target_Position,Velocity,Reference_Velocity,Acceleration,Input_Acceleration,Jerk,Fuel_Consumption,Controller,Lane_ID
0.000000,-22.525000,,24.500000,25.000000,-5.000000,-5.000000,-50.000000,0.066600,IDM,Mainline
0.100000,-20.100000,,24.000000,25.000000,-5.000000,-5.000000,0.000000,0.133200,IDM,Mainline
0.200000,-17.725000,,23.500000,25.000000,-5.000000,-5.000000,0.000000,0.199800,IDM,Mainline
0.300000,-15.400000,,23.000000,25.000000,-5.000000,-5.000000,0.000000,0.266400,IDM,Mainline
0.400000,-13.125000,,22.500000,25.000000,-5.000000,-5.000000,0.000000,0.333000,IDM,Mainline
0.500000,-10.900000,,22.000000,25.000000,-5.000000,-5.000000,0.000000,0.399600,IDM,Mainline
0.600000,-8.725000,,21.500000,25.000000,-5.000000,-5.000000,0.000000,0.466200,IDM,Mainline
0.700000,-6.600000,,21.000000,25.000000,-5.000000,-5.000000,0.000000,0.532800,IDM,Mainline
0.800000,-4.525000,,20.500000,25.000000,-5.000000,-5.000000,0.000000,0.599400,IDM,Mainline
0.900000,-2.500000,,20.000000,25.000000,-5.000000,-5.000000,0.000000,0.666000,IDM,Mainline
1.000000,-0.525000,,19.500000,25.000000,-5.000000,-5.000000,0.000000,0.732600,IDM,Mainline
1.100000,1.400000,,19.000000,25.000000,-5.000000,-5.000000,0.000000,0.799200,IDM,Mainline
1.200000,3.275000,,18.500000,25.000000,-5.000000,-5.000000,0.000000,0.865800,IDM,Mainline
1.300000,5.100000,,18.000000,25.000000,-5.000000,-5.000000,0.000000,0.932400,IDM,Mainline
1.400000,6.881884,,17.637676,25.000000,-3.623236,-3.623236,13.767640,0.999000,IDM,Mainline
1.500000,8.632935,,17.383345,25.000000,-2.543315,-2.543315,10.799207,1.065600,IDM,Mainline
1.600000,10.362392,,17.205806,25.000000,-1.775393,-1.775393,7.679225,1.132200,IDM,Mainline
1.700000,12.076933,,17.085006,25.000000,-1.207999,-1.207999,5.673936,1.198800,IDM,Mainline
1.800000,13.781549,,17.007312,25.000000,-0.776940,-0.776940,4.310589,1.265400,IDM,Mainline
1.900000,15.480067,,16.963050,25.000000,-0.442619,-0.442619,3.343216,1.332000,IDM,Mainline
2.000000,17.175475,,16.945121,25.000000,-0.179283,-0.179283,2.633356,1.424028,IDM,Mainline
