Time,Position,Target_Position,Velocity,Reference_Velocity,Acceleration,Input_Acceleration,Jerk,Fuel_Consumption,Controller,Lane_ID
0.000000,-185.025000,,24.500000,25.000000,-5.000000,-5.000000,-50.000000,0.066600,IDM,Mainline
0.100000,-182.598394,,24.032127,25.000000,-4.678730,-4.678730,3.212703,0.133200,IDM,Mainline
0.200000,-180.215930,,23.617151,25.000000,-4.149761,-4.149761,5.289688,0.199800,IDM,Mainline
0.300000,-177.872718,,23.247091,25.000000,-3.700601,-3.700601,4.491600,0.266400,IDM,Mainline
0.400000,-175.564592,,22.915419,25.000000,-3.316720,-3.316720,3.838805,0.333000,IDM,Mainline
0.500000,-173.287984,,22.616744,25.000000,-2.986750,-2.986750,3.299703,0.399600,IDM,Mainline
0.600000,-171.039818,,22.346572,25.000000,-2.701715,-2.701715,2.850353,0.466200,IDM,Mainline
0.700000,-168.817433,,22.101126,25.000000,-2.454462,-2.454462,2.472526,0.532800,IDM,Mainline
0.800000,-166.618517,,21.877202,25.000000,-2.239239,-2.239239,2.152229,0.599400,IDM,Mainline
0.900000,-164.441054,,21.672065,25.000000,-2.051377,-2.051377,1.878628,0.666000,IDM,Mainline
1.000000,-162.283282,,21.483359,25.000000,-1.887051,-1.887051,1.643257,0.732600,IDM,Mainline
1.100000,-160.143661,,21.309064,25.000000,-1.742957,-1.742957,1.440940,0.799200,IDM,Mainline
1.200000,-158.020827,,21.147626,25.000000,-1.614378,-1.614378,1.285793,0.865800,IDM,Mainline
1.300000,-155.913555,,20.997810,25.000000,-1.498163,-1.498163,1.162145,0.932400,IDM,Mainline
1.400000,-153.820735,,20.858596,25.000000,-1.392135,-1.392135,1.060280,0.999000,IDM,Mainline
1.500000,-151.741349,,20.729123,25.000000,-1.294735,-1.294735,0.974004,1.065600,IDM,Mainline
1.600000,-149.674460,,20.608642,25.000000,-1.204808,-1.204808,0.899268,1.132200,IDM,Mainline
1.700000,-147.619204,,20.496495,25.000000,-1.121472,-1.121472,0.833363,1.198800,IDM,Mainline
1.800000,-145.574774,,20.392092,25.000000,-1.044028,-1.044028,0.774433,1.265400,IDM,Mainline
1.900000,-143.540425,,20.294901,25.000000,-0.971911,-0.971911,0.721174,1.332000,IDM,Mainline
2.000000,-141.515458,,20.204436,25.000000,-0.904646,-0.904646,0.672646,1.398600,IDM,Mainline
2.100000,-139.499223,,20.120253,25.000000,-0.841831,-0.841831,0.628154,1.465200,IDM,Mainline
2.200000,-137.491114,,20.041942,25.000000,-0.783114,-0.783114,0.587169,1.531800,IDM,Mainline
2.300000,-135.490560,,19.969123,25.000000,-0.728186,-0.728186,0.549280,1.598400,IDM,Mainline
2.400000,-133.497032,,19.901446,25.000000,-0.676771,-0.676771,0.514154,1.665000,IDM,Mainline
2.500000,-131.510030,,19.838584,25.000000,-0.628619,-0.628619,0.481519,1.731600,IDM,Mainline
2.600000,-129.529090,,19.780234,25.000000,-0.583504,-0.583504,0.451148,1.798200,IDM,Mainline
2.700000,-127.553772,,19.726112,25.000000,-0.541219,-0.541219,0.422845,1.864800,IDM,Mainline
2.800000,-125.583669,,19.675954,25.000000,-0.501576,-0.501576,0.396440,1.931400,IDM,Mainline
2.900000,-123.618396,,19.629514,25.000000,-0.464397,-0.464397,0.371782,1.998000,IDM,Mainline
3.000000,-121.657592,,19.586562,25.000000,-0.429523,-0.429523,0.348740,2.064600,IDM,Mainline
3.100000,-119.700920,,19.546882,25.000000,-0.396804,-0.396804,0.327192,2.131200,IDM,Mainline
