Time,Position,Target_Position,Velocity,Reference_Velocity,Acceleration,Input_Acceleration,Jerk,Fuel_Consumption,Controller,Lane_ID
0.000000,-35.025000,,24.500000,25.000000,-5.000000,-5.000000,-50.000000,0.066600,IDM,Mainline
0.100000,-32.600000,,24.000000,25.000000,-5.000000,-5.000000,0.000000,0.133200,IDM,Mainline
0.200000,-30.225000,,23.500000,25.000000,-5.000000,-5.000000,0.000000,0.199800,IDM,Mainline
0.300000,-27.900000,,23.000000,25.000000,-5.000000,-5.000000,0.000000,0.266400,IDM,Mainline
0.400000,-25.625000,,22.500000,25.000000,-5.000000,-5.000000,0.000000,0.333000,IDM,Mainline
0.500000,-23.400000,,22.000000,25.000000,-5.000000,-5.000000,0.000000,0.399600,IDM,Mainline
0.600000,-21.225000,,21.500000,25.000000,-5.000000,-5.000000,0.000000,0.466200,IDM,Mainline
0.700000,-19.100000,,21.000000,25.000000,-5.000000,-5.000000,0.000000,0.532800,IDM,Mainline
0.800000,-17.025000,,20.500000,25.000000,-5.000000,-5.000000,0.000000,0.599400,IDM,Mainline
0.900000,-14.999591,,20.008179,25.000000,-4.918206,-4.918206,0.817942,0.666000,IDM,Mainline
1.000000,-13.017428,,19.635078,25.000000,-3.731019,-3.731019,11.871869,0.732600,IDM,Mainline
1.100000,-11.068251,,19.348471,25.000000,-2.866069,-2.866069,8.649495,0.799200,IDM,Mainline
1.200000,-9.144470,,19.127143,25.000000,-2.213275,-2.213275,6.527943,0.865800,IDM,Mainline
1.300000,-7.240293,,18.956401,25.000000,-1.707417,-1.707417,5.058579,0.932400,IDM,Mainline
1.400000,-5.351190,,18.825663,25.000000,-1.307382,-1.307382,4.000355,0.999000,IDM,Mainline
1.500000,-3.473553,,18.727067,25.000000,-0.985965,-0.985965,3.214170,1.065600,IDM,Mainline
1.600000,-1.604469,,18.654622,25.000000,-0.724451,-0.724451,2.615135,1.132200,IDM,Mainline
1.700000,0.258446,,18.603667,25.000000,-0.509546,-0.509546,2.149050,1.198800,IDM,Mainline
1.800000,2.117155,,18.570512,25.000000,-0.331547,-0.331547,1.779992,1.267968,IDM,Mainline
1.900000,3.973290,,18.552192,25.000000,-0.183208,-0.183208,1.483393,1.370319,IDM,Mainline
2.000000,5.828214,,18.546291,25.000000,-0.059009,-0.059009,1.241990,1.500488,IDM,Mainline
2.100000,7.683070,,18.550824,25.000000,0.045328,0.045328,1.043367,1.654330,IDM,Mainline
2.200000,9.538818,,18.564140,25.000000,0.133169,0.133169,0.878410,1.829716,IDM,Mainline
2.300000,11.396268,,18.584860,25.000000,0.207200,0.207200,0.740307,2.024690,IDM,Mainline
2.400000,13.256102,,18.611819,25.000000,0.269588,0.269588,0.623881,2.237246,IDM,Mainline
2.500000,15.118894,,18.644029,25.000000,0.322102,0.322102,0.525145,2.465429,IDM,Mainline
2.600000,16.985128,,18.680649,25.000000,0.366200,0.366200,0.440981,2.707377,IDM,Mainline
2.700000,18.855209,,18.720959,25.000000,0.403093,0.403093,0.368925,2.961359,IDM,Mainline
2.800000,20.729474,,18.764338,25.000000,0.433794,0.433794,0.307010,3.225777,IDM,Mainline
2.900000,22.608203,,18.810254,25.000000,0.459159,0.459159,0.253646,3.499175,IDM,Mainline
3.000000,24.491628,,18.858245,25.000000,0.479912,0.479912,0.207536,3.780236,IDM,Mainline
3.100000,26.379936,,18.907913,25.000000,0.496674,0.496674,0.167618,4.067772,IDM,Mainline
3.200000,28.273277,,18.958910,25.000000,0.509975,0.509975,0.133007,4.360716,IDM,Mainline
3.300000,30.171769,,19.010937,25.000000,0.520271,0.520271,0.102968,4.658119,IDM,Mainline
3.400000,32.075503,,19.063733,25.000000,0.527960,0.527960,0.076883,4.959132,IDM,Mainline
3.500000,33.984543,,19.117071,25.000000,0.533383,0.533383,0.054229,5.263006,IDM,Mainline
3.600000,35.898935,,19.170755,25.000000,0.536839,0.536839,0.034561,5.569074,IDM,Mainline
3.700000,37.818703,,19.224614,25.000000,0.538589,0.538589,0.017498,5.876750,IDM,Mainline
3.800000,39.743859,,19.278500,25.000000,0.538860,0.538860,0.002715,6.185520,IDM,Mainline
3.900000,41.674398,,19.332286,25.000000,0.537853,0.537853,-0.010071,6.494931,IDM,Mainline
4.000000,43.610305,,19.385860,25.000000,0.535743,0.535743,-0.021104,6.804589,IDM,Mainline
4.100000,45.551555,,19.439128,25.000000,0.532683,0.532683,-0.030595,7.114150,IDM,Mainline
4.200000,47.498112,,19.492009,25.000000,0.528810,0.528810,-0.038730,7.423316,IDM,Mainline
4.300000,49.449934,,19.544433,25.000000,0.524243,0.524243,-0.045672,7.731832,IDM,Mainline
4.400000,51.406972,,19.596342,25.000000,0.519087,0.519087,-0.051560,8.039477,IDM,Mainline
4.500000,53.369174,,19.647685,25.000000,0.513435,0.513435,-0.056522,8.346063,IDM,Mainline
4.600000,55.336479,,19.698422,25.000000,0.507368,0.507368,-0.060667,8.651431,IDM,Mainline
4.700000,57.308826,,19.748518,25.000000,0.500959,0.500959,-0.064091,8.955449,IDM,Mainline
4.800000,59.286149,,19.797945,25.000000,0.494271,0.494271,-0.066882,9.258005,IDM,Mainline
4.900000,61.268381,,19.846681,25.000000,0.487359,0.487359,-0.069114,9.559010,IDM,Mainline
5.000000,63.255450,,19.894708,25.000000,0.480274,0.480274,-0.070856,9.858390,IDM,Mainline
5.100000,65.247286,,19.942014,25.000000,0.473057,0.473057,-0.072166,10.156087,IDM,Mainline
5.200000,67.243816,,19.988589,25.000000,0.465747,0.465747,-0.073099,10.452059,IDM,Mainline
5.300000,69.244967,,20.034427,25.000000,0.458377,0.458377,-0.073701,10.746273,IDM,Mainline
5.400000,71.250665,,20.079524,25.000000,0.450976,0.450976,-0.074014,11.038708,IDM,Mainline
5.500000,73.260835,,20.123881,25.000000,0.443568,0.443568,-0.074075,11.329351,IDM,Mainline
5.600000,75.275404,,20.167499,25.000000,0.436176,0.436176,-0.073917,11.618199,IDM,Mainline
5.700000,77.294298,,20.210380,25.000000,0.428819,0.428819,-0.073571,11.905253,IDM,Mainline
5.800000,79.317444,,20.252532,25.000000,0.421513,0.421513,-0.073061,12.190523,IDM,Mainline
5.900000,81.344768,,20.293959,25.000000,0.414272,0.414272,-0.072411,12.474021,IDM,Mainline
6.000000,83.376199,,20.334670,25.000000,0.407108,0.407108,-0.071641,12.755765,IDM,Mainline
6.100000,85.411667,,20.374673,25.000000,0.400031,0.400031,-0.070771,13.035776,IDM,Mainline
6.200000,87.451099,,20.413978,25.000000,0.393049,0.393049,-0.069815,13.314079,IDM,Mainline
6.300000,89.494428,,20.452595,25.000000,0.386170,0.386170,-0.068789,13.590701,IDM,Mainline
6.400000,91.541584,,20.490535,25.000000,0.379400,0.379400,-0.067705,13.865670,IDM,Mainline
6.500000,93.592501,,20.527809,25.000000,0.372742,0.372742,-0.066574,14.139017,IDM,Mainline
6.600000,95.647113,,20.564429,25.000000,0.366202,0.366202,-0.065407,14.410774,IDM,Mainline
6.700000,97.705355,,20.600407,25.000000,0.359781,0.359781,-0.064211,14.680974,IDM,Mainline
6.800000,99.767163,,20.635755,25.000000,0.353481,0.353481,-0.062994,14.949650,IDM,Mainline
6.900000,101.832475,,20.670486,25.000000,0.347305,0.347305,-0.061764,15.216837,IDM,Mainline
7.000000,103.901230,,20.704611,25.000000,0.341252,0.341252,-0.060525,15.482569,IDM,Mainline
7.100000,105.973368,,20.738144,25.000000,0.335324,0.335324,-0.059284,15.746880,IDM,Mainline
7.200000,108.048830,,20.771096,25.000000,0.329520,0.329520,-0.058044,16.009806,IDM,Mainline
7.300000,110.127559,,20.803479,25.000000,0.323839,0.323839,-0.056809,16.271381,IDM,Mainline
7.400000,112.209498,,20.835307,25.000000,0.318280,0.318280,-0.055583,16.531639,IDM,Mainline
7.500000,114.294593,,20.866592,25.000000,0.312844,0.312844,-0.054369,16.790613,IDM,Mainline
7.600000,116.382790,,20.897345,25.000000,0.307527,0.307527,-0.053168,17.048338,IDM,Mainline
7.700000,118.474036,,20.927577,25.000000,0.302328,0.302328,-0.051984,17.304846,IDM,Mainline
7.800000,120.568280,,20.957302,25.000000,0.297247,0.297247,-0.050817,17.560169,IDM,Mainline
7.900000,122.665471,,20.986530,25.000000,0.292280,0.292280,-0.049669,17.814340,IDM,Mainline
8.000000,124.765562,,21.015273,25.000000,0.287426,0.287426,-0.048542,18.067388,IDM,Mainline
