Time,Position,Reference_Position,Velocity,Reference_Velocity,Acceleration,Input_Acceleration,Jerk,Fuel_Consumption,Controller,Lane_ID
0.000000,-222.510540,,24.789191,25.000000,-2.108089,-2.108089,-21.080889,0.066600,IDM,Mainline
0.100000,-220.041656,,24.588492,25.000000,-2.006992,-2.006992,1.010970,0.133200,IDM,Mainline
0.200000,-217.592370,,24.397235,25.000000,-1.912567,-1.912567,0.944249,0.199800,IDM,Mainline
0.300000,-215.161767,,24.214821,25.000000,-1.824139,-1.824139,0.884277,0.266400,IDM,Mainline
0.400000,-212.748991,,24.040708,25.000000,-1.741132,-1.741132,0.830075,0.333000,IDM,Mainline
0.500000,-210.353235,,23.874403,25.000000,-1.663047,-1.663047,0.780847,0.399600,IDM,Mainline
0.600000,-207.973742,,23.715458,25.000000,-1.589453,-1.589453,0.735941,0.466200,IDM,Mainline
0.700000,-205.609796,,23.563461,25.000000,-1.519972,-1.519972,0.694815,0.532800,IDM,Mainline
0.800000,-203.260721,,23.418034,25.000000,-1.454270,-1.454270,0.657016,0.599400,IDM,Mainline
0.900000,-200.925878,,23.278829,25.000000,-1.392053,-1.392053,0.622165,0.666000,IDM,Mainline
1.000000,-198.604661,,23.145523,25.000000,-1.333060,-1.333060,0.589937,0.732600,IDM,Mainline
1.100000,-196.296494,,23.017817,25.000000,-1.277054,-1.277054,0.560056,0.799200,IDM,Mainline
1.200000,-194.000831,,22.895435,25.000000,-1.223826,-1.223826,0.532284,0.865800,IDM,Mainline
1.300000,-191.717153,,22.778116,25.000000,-1.173184,-1.173184,0.506415,0.932400,IDM,Mainline
1.400000,-189.444967,,22.665621,25.000000,-1.124957,-1.124957,0.482269,0.999000,IDM,Mainline
1.500000,-187.183799,,22.557722,25.000000,-1.078988,-1.078988,0.459690,1.065600,IDM,Mainline
1.600000,-184.933203,,22.454208,25.000000,-1.035134,-1.035134,0.438538,1.132200,IDM,Mainline
1.700000,-182.692748,,22.354882,25.000000,-0.993265,-0.993265,0.418692,1.198800,IDM,Mainline
1.800000,-180.462027,,22.259556,25.000000,-0.953261,-0.953261,0.400043,1.265400,IDM,Mainline
1.900000,-178.240646,,22.168055,25.000000,-0.915011,-0.915011,0.382494,1.332000,IDM,Mainline
2.000000,-176.028233,,22.080213,25.000000,-0.878416,-0.878416,0.365958,1.398600,IDM,Mainline
2.100000,-173.824428,,21.995875,25.000000,-0.843380,-0.843380,0.350358,1.465200,IDM,Mainline
2.200000,-171.628890,,21.914893,25.000000,-0.809818,-0.809818,0.335622,1.531800,IDM,Mainline
2.300000,-169.441289,,21.837128,25.000000,-0.777649,-0.777649,0.321689,1.598400,IDM,Mainline
2.400000,-167.261310,,21.762449,25.000000,-0.746799,-0.746799,0.308499,1.665000,IDM,Mainline
2.500000,-165.088651,,21.690729,25.000000,-0.717199,-0.717199,0.296002,1.731600,IDM,Mainline
2.600000,-162.923022,,21.621850,25.000000,-0.688784,-0.688784,0.284149,1.798200,IDM,Mainline
2.700000,-160.764145,,21.555701,25.000000,-0.661494,-0.661494,0.272897,1.864800,IDM,Mainline
2.800000,-158.611751,,21.492174,25.000000,-0.635273,-0.635273,0.262207,1.931400,IDM,Mainline
2.900000,-156.465584,,21.431167,25.000000,-0.610069,-0.610069,0.252041,1.998000,IDM,Mainline
3.000000,-154.325396,,21.372583,25.000000,-0.585832,-0.585832,0.242367,2.064600,IDM,Mainline
3.100000,-152.190951,,21.316332,25.000000,-0.562517,-0.562517,0.233153,2.131200,IDM,Mainline
3.200000,-150.062018,,21.262324,25.000000,-0.540080,-0.540080,0.224371,2.197800,IDM,Mainline
3.300000,-147.938378,,21.210476,25.000000,-0.518481,-0.518481,0.215995,2.264400,IDM,Mainline
3.400000,-145.819819,,21.160708,25.000000,-0.497680,-0.497680,0.208002,2.331000,IDM,Mainline
3.500000,-143.706136,,21.112943,25.000000,-0.477644,-0.477644,0.200367,2.397600,IDM,Mainline
3.600000,-141.597133,,21.067110,25.000000,-0.458336,-0.458336,0.193072,2.464200,IDM,Mainline
3.700000,-139.492621,,21.023137,25.000000,-0.439727,-0.439727,0.186095,2.530800,IDM,Mainline
3.800000,-137.392416,,20.980958,25.000000,-0.421785,-0.421785,0.179421,2.597400,IDM,Mainline
