Time,Position,Reference_Position,Velocity,Reference_Velocity,Acceleration,Input_Acceleration,Jerk,Fuel_Consumption,Controller,Lane_ID
0.000000,-422.501482,,24.970355,25.000000,-0.296450,-0.296450,-2.964500,0.066600,IDM,Mainline
0.100000,-420.005922,,24.940846,25.000000,-0.295086,-0.295086,0.013643,0.133200,IDM,Mainline
0.200000,-417.513305,,24.911501,25.000000,-0.293454,-0.293454,0.016318,0.199800,IDM,Mainline
0.300000,-415.023613,,24.882343,25.000000,-0.291582,-0.291582,0.018723,0.266400,IDM,Mainline
0.400000,-412.536826,,24.853394,25.000000,-0.289493,-0.289493,0.020883,0.333000,IDM,Mainline
0.500000,-410.052922,,24.824672,25.000000,-0.287212,-0.287212,0.022817,0.399600,IDM,Mainline
0.600000,-407.571879,,24.796197,25.000000,-0.284757,-0.284757,0.024543,0.466200,IDM,Mainline
0.700000,-405.093670,,24.767982,25.000000,-0.282149,-0.282149,0.026079,0.532800,IDM,Mainline
0.800000,-402.618269,,24.740041,25.000000,-0.279405,-0.279405,0.027440,0.599400,IDM,Mainline
0.900000,-400.145648,,24.712387,25.000000,-0.276541,-0.276541,0.028640,0.666000,IDM,Mainline
1.000000,-397.675777,,24.685030,25.000000,-0.273572,-0.273572,0.029692,0.732600,IDM,Mainline
1.100000,-395.208626,,24.657979,25.000000,-0.270511,-0.270511,0.030608,0.799200,IDM,Mainline
1.200000,-392.744165,,24.631242,25.000000,-0.267372,-0.267372,0.031399,0.865800,IDM,Mainline
1.300000,-390.282362,,24.604825,25.000000,-0.264164,-0.264164,0.032075,0.932400,IDM,Mainline
1.400000,-387.823184,,24.578735,25.000000,-0.260900,-0.260900,0.032645,0.999000,IDM,Mainline
1.500000,-385.366598,,24.552976,25.000000,-0.257588,-0.257588,0.033118,1.065600,IDM,Mainline
1.600000,-382.912572,,24.527553,25.000000,-0.254238,-0.254238,0.033502,1.132200,IDM,Mainline
1.700000,-380.461071,,24.502467,25.000000,-0.250857,-0.250857,0.033805,1.198800,IDM,Mainline
