Time,Position,Reference_Position,Velocity,Reference_Velocity,Acceleration,Input_Acceleration,Jerk,Fuel_Consumption,Controller,Lane_ID
0.000000,-97.505929,,24.881420,25.000000,-1.185800,-1.185800,-11.858000,0.066600,IDM,Mainline
0.100000,-95.023360,,24.769965,25.000000,-1.114551,-1.114551,0.712492,0.133200,IDM,Mainline
0.200000,-92.551605,,24.665121,25.000000,-1.048440,-1.048440,0.661113,0.199800,IDM,Mainline
0.300000,-90.090028,,24.566422,25.000000,-0.986986,-0.986986,0.614532,0.266400,IDM,Mainline
0.400000,-87.638035,,24.473446,25.000000,-0.929768,-0.929768,0.572184,0.333000,IDM,Mainline
0.500000,-85.195072,,24.385805,25.000000,-0.876410,-0.876410,0.533584,0.399600,IDM,Mainline
0.600000,-82.760625,,24.303147,25.000000,-0.826578,-0.826578,0.498314,0.466200,IDM,Mainline
0.700000,-80.334210,,24.225149,25.000000,-0.779977,-0.779977,0.466011,0.532800,IDM,Mainline
0.800000,-77.915377,,24.151515,25.000000,-0.736341,-0.736341,0.436363,0.599400,IDM,Mainline
0.900000,-75.503702,,24.081972,25.000000,-0.695431,-0.695431,0.409093,0.666000,IDM,Mainline
1.000000,-73.098790,,24.016268,25.000000,-0.657035,-0.657035,0.383964,0.732600,IDM,Mainline
1.100000,-70.700268,,23.954172,25.000000,-0.620959,-0.620959,0.360763,0.799200,IDM,Mainline
1.200000,-68.307786,,23.895470,25.000000,-0.587028,-0.587028,0.339305,0.865800,IDM,Mainline
1.300000,-65.921015,,23.839961,25.000000,-0.555086,-0.555086,0.319426,0.932400,IDM,Mainline
1.400000,-63.539644,,23.787462,25.000000,-0.524988,-0.524988,0.300981,0.999000,IDM,Mainline
1.500000,-61.163380,,23.737802,25.000000,-0.496603,-0.496603,0.283841,1.065600,IDM,Mainline
1.600000,-58.791949,,23.690821,25.000000,-0.469814,-0.469814,0.267891,1.132200,IDM,Mainline
1.700000,-56.425090,,23.646369,25.000000,-0.444511,-0.444511,0.253028,1.198800,IDM,Mainline
1.800000,-54.062556,,23.604310,25.000000,-0.420596,-0.420596,0.239159,1.265400,IDM,Mainline
1.900000,-51.704115,,23.564512,25.000000,-0.397975,-0.397975,0.226203,1.332000,IDM,Mainline
