Time,Position,Reference_Position,Velocity,Reference_Velocity,Acceleration,Input_Acceleration,Jerk,Fuel_Consumption,Controller,Lane_ID
0.000000,-410.025000,,24.500000,25.000000,-5.000000,-5.000000,-50.000000,0.066600,IDM,Mainline
0.100000,-407.597285,,24.054304,25.000000,-4.456958,-4.456958,5.430423,0.133200,IDM,Mainline
0.200000,-405.210704,,23.677309,25.000000,-3.769954,-3.769954,6.870035,0.199800,IDM,Mainline
0.300000,-402.859056,,23.355656,25.000000,-3.216530,-3.216530,5.534242,0.266400,IDM,Mainline
0.400000,-400.537307,,23.079332,25.000000,-2.763235,-2.763235,4.532949,0.333000,IDM,Mainline
0.500000,-398.241307,,22.840649,25.000000,-2.386830,-2.386830,3.764047,0.399600,IDM,Mainline
0.600000,-395.967596,,22.633582,25.000000,-2.070675,-2.070675,3.161551,0.466200,IDM,Mainline
0.700000,-393.713250,,22.453327,25.000000,-1.802546,-1.802546,2.681290,0.532800,IDM,Mainline
0.800000,-391.475784,,22.296000,25.000000,-1.573267,-1.573267,2.292798,0.599400,IDM,Mainline
0.900000,-389.253063,,22.158419,25.000000,-1.375815,-1.375815,1.974516,0.666000,IDM,Mainline
1.000000,-387.043245,,22.037946,25.000000,-1.204731,-1.204731,1.710844,0.732600,IDM,Mainline
1.100000,-384.844729,,21.932376,25.000000,-1.055703,-1.055703,1.490271,0.799200,IDM,Mainline
1.200000,-382.656118,,21.839847,25.000000,-0.925288,-0.925288,1.304155,0.865800,IDM,Mainline
1.300000,-380.476187,,21.758777,25.000000,-0.810697,-0.810697,1.145910,0.932400,IDM,Mainline
1.400000,-378.303857,,21.687812,25.000000,-0.709653,-0.709653,1.010442,0.999000,IDM,Mainline
1.500000,-376.138177,,21.625784,25.000000,-0.620276,-0.620276,0.893764,1.065600,IDM,Mainline
1.600000,-373.978304,,21.571684,25.000000,-0.541004,-0.541004,0.792720,1.132200,IDM,Mainline
1.700000,-371.823488,,21.524631,25.000000,-0.470526,-0.470526,0.704785,1.198800,IDM,Mainline
1.800000,-369.673064,,21.483858,25.000000,-0.407734,-0.407734,0.627920,1.268408,IDM,Mainline
1.900000,-367.526436,,21.448689,25.000000,-0.351688,-0.351688,0.560463,1.352303,IDM,Mainline
2.000000,-365.383075,,21.418531,25.000000,-0.301583,-0.301583,0.501048,1.448940,IDM,Mainline
2.100000,-363.242506,,21.392858,25.000000,-0.256728,-0.256728,0.448547,1.556968,IDM,Mainline
2.200000,-361.104303,,21.371205,25.000000,-0.216526,-0.216526,0.402017,1.675193,IDM,Mainline
2.300000,-358.968085,,21.353159,25.000000,-0.180459,-0.180459,0.360671,1.802563,IDM,Mainline
2.400000,-356.833509,,21.338352,25.000000,-0.148075,-0.148075,0.323840,1.938145,IDM,Mainline
2.500000,-354.700269,,21.326454,25.000000,-0.118979,-0.118979,0.290961,2.081111,IDM,Mainline
2.600000,-352.568087,,21.317172,25.000000,-0.092824,-0.092824,0.261550,2.230723,IDM,Mainline
2.700000,-350.436717,,21.310241,25.000000,-0.069305,-0.069305,0.235195,2.386321,IDM,Mainline
2.800000,-348.305933,,21.305426,25.000000,-0.048151,-0.048151,0.211539,2.547318,IDM,Mainline
2.900000,-346.175536,,21.302514,25.000000,-0.029123,-0.029123,0.190275,2.713184,IDM,Mainline
3.000000,-344.045345,,21.301313,25.000000,-0.012010,-0.012010,0.171135,2.883445,IDM,Mainline
3.100000,-341.915197,,21.301651,25.000000,0.003379,0.003379,0.153887,3.057677,IDM,Mainline
3.200000,-339.784946,,21.303372,25.000000,0.017212,0.017212,0.138327,3.235529,IDM,Mainline
3.300000,-337.654461,,21.306336,25.000000,0.029639,0.029639,0.124276,3.416692,IDM,Mainline
3.400000,-335.523623,,21.310415,25.000000,0.040797,0.040797,0.111576,3.600879,IDM,Mainline
3.500000,-333.392327,,21.315496,25.000000,0.050806,0.050806,0.100090,3.787823,IDM,Mainline
3.600000,-331.260479,,21.321473,25.000000,0.059775,0.059775,0.089693,3.977278,IDM,Mainline
3.700000,-329.127993,,21.328254,25.000000,0.067803,0.067803,0.080277,4.169017,IDM,Mainline
3.800000,-326.994792,,21.335752,25.000000,0.074978,0.074978,0.071746,4.362830,IDM,Mainline
3.900000,-324.860810,,21.343889,25.000000,0.081379,0.081379,0.064011,4.558526,IDM,Mainline
4.000000,-322.725986,,21.352597,25.000000,0.087078,0.087078,0.056998,4.755926,IDM,Mainline
4.100000,-320.590266,,21.361811,25.000000,0.092142,0.092142,0.050635,4.954868,IDM,Mainline
4.200000,-318.453601,,21.371474,25.000000,0.096628,0.096628,0.044863,5.155202,IDM,Mainline
4.300000,-316.315951,,21.381533,25.000000,0.100591,0.100591,0.039624,5.356792,IDM,Mainline
4.400000,-314.177277,,21.391941,25.000000,0.104078,0.104078,0.034869,5.559511,IDM,Mainline
4.500000,-312.037547,,21.402654,25.000000,0.107133,0.107133,0.030553,5.763244,IDM,Mainline
4.600000,-309.896733,,21.413634,25.000000,0.109796,0.109796,0.026636,5.967888,IDM,Mainline
4.700000,-307.754809,,21.424844,25.000000,0.112105,0.112105,0.023082,6.173344,IDM,Mainline
4.800000,-305.611754,,21.436253,25.000000,0.114090,0.114090,0.019856,6.379526,IDM,Mainline
4.900000,-303.467550,,21.447832,25.000000,0.115783,0.115783,0.016929,6.586353,IDM,Mainline
5.000000,-301.322181,,21.459553,25.000000,0.117211,0.117211,0.014274,6.793751,IDM,Mainline
5.100000,-299.175633,,21.471393,25.000000,0.118397,0.118397,0.011867,7.001654,IDM,Mainline
5.200000,-297.027897,,21.483329,25.000000,0.119366,0.119366,0.009686,7.210000,IDM,Mainline
5.300000,-294.878964,,21.495343,25.000000,0.120137,0.120137,0.007709,7.418735,IDM,Mainline
5.400000,-292.728826,,21.507416,25.000000,0.120729,0.120729,0.005920,7.627808,IDM,Mainline
