Time,Position,Reference_Position,Velocity,Reference_Velocity,Acceleration,Input_Acceleration,Jerk,Fuel_Consumption,Controller,Lane_ID
0.000000,-98.002451,,19.950980,20.000000,-0.490202,-0.490202,-4.902015,0.066600,MPC,On-ramp
0.100000,-96.009566,,19.906711,20.000000,-0.442690,-0.442690,0.475118,0.133200,MPC,On-ramp
0.200000,-94.020898,,19.866653,20.000000,-0.400580,-0.400580,0.421099,0.199800,MPC,On-ramp
0.300000,-92.036049,,19.830332,20.000000,-0.363214,-0.363214,0.373662,0.269264,MPC,On-ramp
0.400000,-90.054666,,19.797329,20.000000,-0.330024,-0.330024,0.331897,0.346465,MPC,On-ramp
0.500000,-88.076436,,19.767277,20.000000,-0.300520,-0.300520,0.295042,0.430518,MPC,On-ramp
0.600000,-86.101079,,19.739850,20.000000,-0.274274,-0.274274,0.262453,0.520643,MPC,On-ramp
0.700000,-84.128349,,19.714758,20.000000,-0.250916,-0.250916,0.233581,0.616154,MPC,On-ramp
0.800000,-82.158024,,19.691746,20.000000,-0.230120,-0.230120,0.207961,0.716441,MPC,On-ramp
0.900000,-80.189907,,19.670586,20.000000,-0.211601,-0.211601,0.185190,0.820969,MPC,On-ramp
1.000000,-78.223824,,19.651075,20.000000,-0.195109,-0.195109,0.164925,0.929259,MPC,On-ramp
1.100000,-76.259619,,19.633033,20.000000,-0.180422,-0.180422,0.146865,1.040887,MPC,On-ramp
1.200000,-74.297152,,19.616298,20.000000,-0.167347,-0.167347,0.130754,1.155477,MPC,On-ramp
1.300000,-72.336301,,19.600727,20.000000,-0.155710,-0.155710,0.116364,1.272692,MPC,On-ramp
1.400000,-70.376955,,19.586191,20.000000,-0.145360,-0.145360,0.103500,1.392233,MPC,On-ramp
1.500000,-68.419017,,19.572575,20.000000,-0.136162,-0.136162,0.091988,1.513831,MPC,On-ramp
1.600000,-66.462399,,19.559776,20.000000,-0.127994,-0.127994,0.081678,1.637247,MPC,On-ramp
1.700000,-64.507025,,19.547701,20.000000,-0.120750,-0.120750,0.072437,1.762268,MPC,On-ramp
1.800000,-62.552827,,19.536267,20.000000,-0.114335,-0.114335,0.064148,1.888701,MPC,On-ramp
1.900000,-60.599744,,19.525401,20.000000,-0.108665,-0.108665,0.056706,2.016373,MPC,On-ramp
2.000000,-58.647722,,19.515034,20.000000,-0.103663,-0.103663,0.050019,2.145130,MPC,On-ramp
2.100000,-56.696715,,19.505108,20.000000,-0.099262,-0.099262,0.044008,2.274834,MPC,On-ramp
2.200000,-54.746681,,19.495568,20.000000,-0.095402,-0.095402,0.038599,2.405359,MPC,On-ramp
2.300000,-52.797584,,19.486365,20.000000,-0.092029,-0.092029,0.033728,2.536593,MPC,On-ramp
2.400000,-50.849393,,19.477455,20.000000,-0.089095,-0.089095,0.029339,2.668435,MPC,On-ramp
2.500000,-48.902080,,19.468800,20.000000,-0.086557,-0.086557,0.025380,2.800793,MPC,On-ramp
2.600000,-46.955622,,19.460362,20.000000,-0.084377,-0.084377,0.021806,2.933584,MPC,On-ramp
2.700000,-45.009999,,19.452110,20.000000,-0.082519,-0.082519,0.018576,3.066734,MPC,On-ramp
2.800000,-43.065193,,19.444015,20.000000,-0.080954,-0.080954,0.015655,3.200176,MPC,On-ramp
2.900000,-41.121189,,19.436049,20.000000,-0.079653,-0.079653,0.013011,3.333849,MPC,On-ramp
3.000000,-39.177977,,19.428190,20.000000,-0.078591,-0.078591,0.010613,3.467696,MPC,On-ramp
3.100000,-37.235547,,19.420416,20.000000,-0.077748,-0.077748,0.008436,3.601667,MPC,On-ramp
3.200000,-35.293891,,19.412705,20.000000,-0.077102,-0.077102,0.006458,3.735717,MPC,On-ramp
3.300000,-33.353004,,19.405042,20.000000,-0.076636,-0.076636,0.004656,3.869803,MPC,On-ramp
3.400000,-31.412881,,19.397408,20.000000,-0.076335,-0.076335,0.003014,4.003887,MPC,On-ramp
3.500000,-29.473521,,19.389790,20.000000,-0.076184,-0.076184,0.001513,4.137935,MPC,On-ramp
3.600000,-27.534923,,19.382173,20.000000,-0.076170,-0.076170,0.000138,4.271913,MPC,On-ramp
3.700000,-25.597087,,19.374545,20.000000,-0.076282,-0.076282,-0.001122,4.405792,MPC,On-ramp
3.800000,-23.660015,,19.366894,20.000000,-0.076510,-0.076510,-0.002282,4.539546,MPC,On-ramp
3.900000,-21.723710,,19.359209,20.000000,-0.076845,-0.076845,-0.003352,4.673148,MPC,On-ramp
4.000000,-19.788176,,19.351481,20.000000,-0.077280,-0.077280,-0.004341,4.806575,MPC,On-ramp
4.100000,-17.853417,,19.343701,20.000000,-0.077805,-0.077805,-0.005259,4.939806,MPC,On-ramp
4.200000,-15.919439,,19.335859,20.000000,-0.078417,-0.078417,-0.006113,5.072820,MPC,On-ramp
4.300000,-13.986248,,19.327948,20.000000,-0.079108,-0.079108,-0.006910,5.205597,MPC,On-ramp
4.400000,-12.053853,,19.319961,20.000000,-0.079873,-0.079873,-0.007658,5.338120,MPC,On-ramp
4.500000,-10.122260,,19.311890,20.000000,-0.080710,-0.080710,-0.008361,5.470373,MPC,On-ramp
4.600000,-8.191479,,19.303729,20.000000,-0.081612,-0.081612,-0.009026,5.602337,MPC,On-ramp
4.700000,-6.261519,,19.295471,20.000000,-0.082578,-0.082578,-0.009656,5.734000,MPC,On-ramp
4.800000,-4.332390,,19.287111,20.000000,-0.083603,-0.083603,-0.010256,5.865344,MPC,On-ramp
4.900000,-2.404103,,19.278642,20.000000,-0.084686,-0.084686,-0.010831,5.996358,MPC,On-ramp
5.000000,-0.476668,,19.270059,20.000000,-0.085825,-0.085825,-0.011383,6.127026,MPC,On-ramp
5.100000,1.449903,,19.261358,20.000000,-0.087016,-0.087016,-0.011916,6.257335,MPC,On-ramp
5.200000,3.376604,,19.272656,25.000000,0.112984,0.112984,2.000000,6.435796,MPC,Mainline
5.300000,5.305435,,19.303955,25.000000,0.312984,0.312984,2.000000,6.670829,MPC,Mainline
5.400000,7.238395,,19.355253,25.000000,0.512984,0.512984,2.000000,6.971921,MPC,Mainline
5.500000,9.177485,,19.426551,25.000000,0.712984,0.712984,2.000000,7.348832,MPC,Mainline
5.600000,11.124705,,19.517850,25.000000,0.912984,0.912984,2.000000,7.811654,MPC,Mainline
5.700000,13.082055,,19.629148,25.000000,1.112984,1.112984,2.000000,8.370872,MPC,Mainline
5.800000,15.051535,,19.760446,25.000000,1.312984,1.312984,2.000000,9.037411,MPC,Mainline
5.900000,17.035144,,19.911745,25.000000,1.512984,1.512984,2.000000,9.822703,MPC,Mainline
6.000000,19.034884,,20.083043,25.000000,1.712984,1.712984,2.000000,10.738735,MPC,Mainline
6.100000,21.052753,,20.274341,25.000000,1.912984,1.912984,2.000000,11.798112,MPC,Mainline
6.200000,23.090752,,20.485640,25.000000,2.112984,2.112984,2.000000,13.014108,MPC,Mainline
6.300000,25.150881,,20.716938,25.000000,2.312984,2.312984,2.000000,14.400727,MPC,Mainline
6.400000,27.235140,,20.968237,25.000000,2.512984,2.512984,2.000000,15.972758,MPC,Mainline
6.500000,29.345528,,21.239535,25.000000,2.712984,2.712984,2.000000,17.745831,MPC,Mainline
6.600000,31.484047,,21.530833,25.000000,2.912984,2.912984,2.000000,19.736474,MPC,Mainline
6.700000,33.652695,,21.842132,25.000000,3.112984,3.112984,2.000000,21.962172,MPC,Mainline
6.800000,35.853473,,22.173430,25.000000,3.312984,3.312984,2.000000,24.441420,MPC,Mainline
6.900000,38.088381,,22.524728,25.000000,3.512984,3.512984,2.000000,27.193783,MPC,Mainline
7.000000,40.359419,,22.896027,25.000000,3.712984,3.712984,2.000000,30.239953,MPC,Mainline
7.100000,42.668586,,23.287325,25.000000,3.912984,3.912984,2.000000,33.601803,MPC,Mainline
7.200000,45.017884,,23.698624,25.000000,4.112984,4.112984,2.000000,37.302447,MPC,Mainline
7.300000,47.409311,,24.129922,25.000000,4.312984,4.312984,2.000000,41.366295,MPC,Mainline
7.400000,49.843946,,24.562784,25.000000,4.328626,4.328626,0.156424,45.529500,MPC,Mainline
7.500000,52.321008,,24.978456,25.000000,4.156718,4.156718,-1.719081,49.503287,MPC,Mainline
7.600000,54.838783,,25.377027,25.000000,3.985710,3.985710,-1.710077,53.286425,MPC,Mainline
7.700000,57.395565,,25.758629,25.000000,3.816013,3.816013,-1.696976,56.879132,MPC,Mainline
7.800000,59.989666,,26.123384,25.000000,3.647558,3.647558,-1.684545,60.282293,MPC,Mainline
7.900000,62.619403,,26.471358,25.000000,3.479731,3.479731,-1.678272,63.496646,MPC,Mainline
8.000000,65.283103,,26.802636,25.000000,3.312787,3.312787,-1.669442,66.524001,MPC,Mainline
8.100000,67.979101,,27.117321,25.000000,3.146845,3.146845,-1.659416,69.366976,MPC,Mainline
8.200000,70.705742,,27.415503,25.000000,2.981825,2.981825,-1.650206,72.028680,MPC,Mainline
8.300000,73.461380,,27.697267,25.000000,2.817641,2.817641,-1.641839,74.512679,MPC,Mainline
8.400000,76.244378,,27.962689,25.000000,2.654217,2.654217,-1.634240,76.822970,MPC,Mainline
8.500000,79.053102,,28.211783,25.000000,2.490945,2.490945,-1.632713,78.963343,MPC,Mainline
8.600000,81.885920,,28.444584,25.000000,2.328002,2.328002,-1.629430,80.938317,MPC,Mainline
8.700000,84.741206,,28.661136,25.000000,2.165525,2.165525,-1.624775,82.753037,MPC,Mainline
8.800000,87.617337,,28.861478,25.000000,2.003415,2.003415,-1.621099,84.412980,MPC,Mainline
8.900000,90.512692,,29.045636,25.000000,1.841581,1.841581,-1.618342,85.923936,MPC,Mainline
9.000000,93.425656,,29.213627,25.000000,1.679913,1.679913,-1.616677,87.291988,MPC,Mainline
9.100000,96.354610,,29.365457,25.000000,1.518304,1.518304,-1.616089,88.523496,MPC,Mainline
9.200000,99.297939,,29.501122,25.000000,1.356647,1.356647,-1.616568,89.625095,MPC,Mainline
9.300000,102.254002,,29.620137,25.000000,1.190153,1.190153,-1.664941,90.600074,MPC,Mainline
9.400000,105.221182,,29.723475,25.000000,1.033371,1.033371,-1.567825,91.463231,MPC,Mainline
9.500000,108.197884,,29.810563,25.000000,0.870881,0.870881,-1.624895,92.217889,MPC,Mainline
9.600000,111.182480,,29.881350,25.000000,0.707874,0.707874,-1.630075,92.871692,MPC,Mainline
9.700000,114.173336,,29.935772,25.000000,0.544221,0.544221,-1.636527,93.432528,MPC,Mainline
9.800000,117.168812,,29.973751,25.000000,0.379788,0.379788,-1.644327,93.908524,MPC,Mainline
