Time,Position,Reference Position,Velocity,Reference Velocity,Acceleration,Input_Acceleration,Jerk,Controller,Lane ID
0,-1023.35,,20,20,0,0,0,,Mainline
0.1,-1021.35,,20,20,0,0,0,,Mainline
0.2,-1019.35,,20,20,0,0,0,,Mainline
0.3,-1017.35,,20,20,0,0,0,,Mainline
0.4,-1015.35,,20,20,0,0,0,,Mainline
0.5,-1013.35,,20,20,0,0,0,,Mainline
0.6,-1011.35,,20,20,0,0,0,,Mainline
0.7,-1009.35,,20,20,0,0,0,,Mainline
0.8,-1007.35,,20,20,0,0,0,,Mainline
0.9,-1005.35,,20,20,0,0,0,,Mainline
1,-1003.35,,20,20,0,0,0,,Mainline
1.1,-1001.35,,20,20,0,0,0,,Mainline
1.2,-999.353,,20,20,0,0,0,,Mainline
1.3,-997.353,,20,20,0,0,0,,Mainline
1.4,-995.353,,20,20,0,0,0,,Mainline
1.5,-993.353,,20,20,0,0,0,,Mainline
1.6,-991.353,,20,20,0,0,0,,Mainline
1.7,-989.353,,20,20,0,0,0,,Mainline
1.8,-987.353,,20,20,0,0,0,,Mainline
1.9,-985.353,,20,20,0,0,0,,Mainline
2,-983.353,,20,20,0,0,0,,Mainline
2.1,-981.353,,20,20,0,0,0,,Mainline
2.2,-979.353,,20,20,0,0,0,,Mainline
2.3,-977.353,,20,20,0,0,0,,Mainline
2.4,-975.353,,20,20,0,0,0,,Mainline
2.5,-973.353,,20,20,0,0,0,,Mainline
2.6,-971.353,,20,20,0,0,0,,Mainline
2.7,-969.353,,20,20,0,0,0,,Mainline
2.8,-967.353,,20,20,0,0,0,,Mainline
2.9,-965.353,,20,20,0,0,0,,Mainline
3,-963.353,,20,20,0,0,0,,Mainline
3.1,-961.353,,20,20,0,0,0,,Mainline
3.2,-959.353,,20,20,0,0,0,,Mainline
3.3,-957.353,,20,20,0,0,0,,Mainline
3.4,-955.353,,20,20,0,0,0,,Mainline
3.5,-953.353,,20,20,0,0,0,,Mainline
3.6,-951.353,,20,20,0,0,0,,Mainline
3.7,-949.353,,20,20,0,0,0,,Mainline
3.8,-947.353,,20,20,0,0,0,,Mainline
3.9,-945.353,,20,20,0,0,0,,Mainline
4,-943.353,,20,20,0,0,0,,Mainline
4.1,-941.353,,20,20,0,0,0,,Mainline
4.2,-939.353,,20,20,0,0,0,,Mainline
4.3,-937.353,,20,20,0,0,0,,Mainline
4.4,-935.353,,20,20,0,0,0,,Mainline
4.5,-933.353,,20,20,0,0,0,,Mainline
4.6,-931.353,,20,20,0,0,0,,Mainline
4.7,-929.353,,20,20,0,0,0,,Mainline
4.8,-927.353,,20,20,0,0,0,,Mainline
4.9,-925.353,,20,20,0,0,0,,Mainline
5,-923.353,,20,20,0,0,0,,Mainline
5.1,-921.353,,20,20,0,0,0,,Mainline
5.2,-919.353,,20,20,0,0,0,,Mainline
5.3,-917.353,,20,20,0,0,0,,Mainline
5.4,-915.353,,20,20,0,0,0,,Mainline
5.5,-913.353,,20,20,0,0,0,,Mainline
5.6,-911.353,,20,20,0,0,0,,Mainline
5.7,-909.353,,20,20,0,0,0,,Mainline
5.8,-907.353,,20,20,0,0,0,,Mainline
5.9,-905.353,,20,20,0,0,0,,Mainline
6,-903.353,,20,20,0,0,0,,Mainline
6.1,-901.353,,20,20,0,0,0,,Mainline
6.2,-899.353,,20,20,0,0,0,,Mainline
6.3,-897.353,,20,20,0,0,0,,Mainline
6.4,-895.353,,20,20,0,0,0,,Mainline
6.5,-893.353,,20,20,0,0,0,,Mainline
6.6,-891.353,,20,20,0,0,0,,Mainline
6.7,-889.353,,20,20,0,0,0,,Mainline
6.8,-887.353,,20,20,0,0,0,,Mainline
6.9,-885.353,,20,20,0,0,0,,Mainline
7,-883.353,,20,20,0,0,0,,Mainline
