Time,Position,Reference Position,Velocity,Reference Velocity,Acceleration,Input_Acceleration,Jerk,Controller,Lane ID
0,2,,20,20,0,0,0,,On-ramp
0.1,4,,20,20,0,0,0,,On-ramp
0.2,6,,20,20,0,0,0,,On-ramp
0.3,8,,20,20,0,0,0,,On-ramp
0.4,10,,20,20,0,0,0,,On-ramp
0.5,12,,20,20,0,0,0,,On-ramp
0.6,14,,20,20,0,0,0,,On-ramp
0.7,16,,20,20,0,0,0,,On-ramp
0.8,18,,20,20,0,0,0,,On-ramp
0.9,20,,20,20,0,0,0,,On-ramp
1,22,,20,20,0,0,0,,On-ramp
1.1,24,,20,20,0,0,0,,On-ramp
1.2,26,,20,20,0,0,0,,On-ramp
1.3,28,,20,20,0,0,0,,On-ramp
1.4,30,,20,20,0,0,0,,On-ramp
1.5,32,,20,20,0,0,0,,On-ramp
1.6,34,,20,20,0,0,0,,On-ramp
1.7,36,,20,20,0,0,0,,On-ramp
1.8,38,,20,20,0,0,0,,On-ramp
1.9,40,,20,20,0,0,0,,On-ramp
2,42,,20,20,0,0,0,,On-ramp
2.1,44,,20,20,0,0,0,,On-ramp
2.2,46,,20,20,0,0,0,,On-ramp
2.3,48,,20,20,0,0,0,,On-ramp
2.4,50,,20,20,0,0,0,,On-ramp
2.5,52,,20,20,0,0,0,,On-ramp
2.6,54,,20,20,0,0,0,,On-ramp
2.7,56,,20,20,0,0,0,,On-ramp
2.8,58,,20,20,0,0,0,,On-ramp
2.9,60,,20,20,0,0,0,,On-ramp
3,62,,20,20,0,0,0,,On-ramp
3.1,64,,20,20,0,0,0,,On-ramp
3.2,66,,20,20,0,0,0,,On-ramp
3.3,68,,20,20,0,0,0,,On-ramp
3.4,70,,20,20,0,0,0,,On-ramp
3.5,72,,20,20,0,0,0,,On-ramp
3.6,74,,20,20,0,0,0,,On-ramp
3.7,76,,20,20,0,0,0,,On-ramp
3.8,78,,20,20,0,0,0,,On-ramp
3.9,80,,20,20,0,0,0,,On-ramp
4,82,,20,20,0,0,0,,On-ramp
4.1,84,,20,20,0,0,0,,On-ramp
4.2,86,,20,20,0,0,0,,On-ramp
4.3,88,,20,20,0,0,0,,On-ramp
4.4,90,,20,20,0,0,0,,On-ramp
4.5,92,,20,20,0,0,0,,On-ramp
4.6,94,,20,20,0,0,0,,On-ramp
4.7,96,,20,20,0,0,0,,On-ramp
4.8,98,,20,20,0,0,0,,On-ramp
4.9,100,,20,20,0,0,0,,On-ramp
5,102,,20,20,0,0,0,,On-ramp
5.1,104,,20,20,0,0,0,,On-ramp
5.2,106,,20,20,0,0,0,,On-ramp
5.3,108,,20,20,0,0,0,,On-ramp
5.4,110,,20,20,0,0,0,,On-ramp
5.5,112,,20,20,0,0,0,,On-ramp
5.6,114,,20,20,0,0,0,,On-ramp
5.7,116,,20,20,0,0,0,,On-ramp
5.8,118,,20,20,0,0,0,,On-ramp
5.9,120,,20,20,0,0,0,,On-ramp
6,122,,20,20,0,0,0,,On-ramp
6.1,124,,20,20,0,0,0,,On-ramp
6.2,126,,20,20,0,0,0,,On-ramp
6.3,128,,20,20,0,0,0,,On-ramp
6.4,130,,20,20,0,0,0,,On-ramp
6.5,132,,20,20,0,0,0,,On-ramp
6.6,134,,20,20,0,0,0,,On-ramp
6.7,136,,20,20,0,0,0,,On-ramp
6.8,138,,20,20,0,0,0,,On-ramp
6.9,140,,20,20,0,0,0,,On-ramp
7,142,,20,20,0,0,0,,On-ramp
7.1,144,,20,20,0,0,0,,On-ramp
7.2,146,,20,20,0,0,0,,On-ramp
7.3,148,,20,20,0,0,0,,On-ramp
7.4,150,,20,20,0,0,0,,On-ramp
7.5,152,,20,20,0,0,0,,On-ramp
7.6,154,,20,20,0,0,0,,On-ramp
7.7,156,,20,20,0,0,0,,On-ramp
7.8,158,,20,20,0,0,0,,On-ramp
7.9,160,,20,20,0,0,0,,On-ramp
8,162,,20,20,0,0,0,,On-ramp
8.1,164,,20,20,0,0,0,,On-ramp
8.2,166,,20,20,0,0,0,,On-ramp
8.3,168,,20,20,0,0,0,,On-ramp
8.4,170,,20,20,0,0,0,,On-ramp
8.5,172,,20,20,0,0,0,,On-ramp
