Time,Position,Reference Position,Velocity,Reference Velocity,Acceleration,Input Acceleration,Jerk,Controller,Lane ID
0.000000,-1284.094394,,24.979730,25.000000,-0.202700,-0.202700,-2.027003,IDM,Mainline
0.100000,-1281.597360,,24.960954,25.000000,-0.187756,-0.187756,0.149443,IDM,Mainline
0.200000,-1279.102134,,24.943563,25.000000,-0.173916,-0.173916,0.138397,IDM,Mainline
0.300000,-1276.608583,,24.927453,25.000000,-0.161099,-0.161099,0.128172,IDM,Mainline
0.400000,-1274.116584,,24.912530,25.000000,-0.149229,-0.149229,0.118705,IDM,Mainline
0.500000,-1271.626022,,24.898706,25.000000,-0.138235,-0.138235,0.109939,IDM,Mainline
0.600000,-1269.136792,,24.885901,25.000000,-0.128053,-0.128053,0.101822,IDM,Mainline
0.700000,-1266.648795,,24.874039,25.000000,-0.118622,-0.118622,0.094305,IDM,Mainline
0.800000,-1264.161940,,24.863050,25.000000,-0.109888,-0.109888,0.087344,IDM,Mainline
0.900000,-1261.676144,,24.852870,25.000000,-0.101798,-0.101798,0.080896,IDM,Mainline
1.000000,-1259.191329,,24.843440,25.000000,-0.094306,-0.094306,0.074924,IDM,Mainline
1.100000,-1256.707421,,24.834703,25.000000,-0.087366,-0.087366,0.069392,IDM,Mainline
1.200000,-1254.224356,,24.826609,25.000000,-0.080940,-0.080940,0.064268,IDM,Mainline
1.300000,-1251.742070,,24.819111,25.000000,-0.074987,-0.074987,0.059521,IDM,Mainline
1.400000,-1249.260506,,24.812163,25.000000,-0.069475,-0.069475,0.055124,IDM,Mainline
1.500000,-1246.779612,,24.805726,25.000000,-0.064370,-0.064370,0.051050,IDM,Mainline
1.600000,-1244.299337,,24.799762,25.000000,-0.059642,-0.059642,0.047276,IDM,Mainline
1.700000,-1241.819637,,24.794235,25.000000,-0.055264,-0.055264,0.043780,IDM,Mainline
1.800000,-1239.340470,,24.789114,25.000000,-0.051210,-0.051210,0.040541,IDM,Mainline
1.900000,-1236.861796,,24.784369,25.000000,-0.047456,-0.047456,0.037540,IDM,Mainline
2.000000,-1234.383579,,24.779971,25.000000,-0.043980,-0.043980,0.034760,IDM,Mainline
2.100000,-1231.905785,,24.775895,25.000000,-0.040762,-0.040762,0.032185,IDM,Mainline
2.200000,-1229.428385,,24.772117,25.000000,-0.037782,-0.037782,0.029799,IDM,Mainline
2.300000,-1226.951348,,24.768614,25.000000,-0.035023,-0.035023,0.027589,IDM,Mainline
2.400000,-1224.474649,,24.765367,25.000000,-0.032469,-0.032469,0.025542,IDM,Mainline
2.500000,-1221.998263,,24.762357,25.000000,-0.030104,-0.030104,0.023645,IDM,Mainline
2.600000,-1219.522167,,24.759565,25.000000,-0.027915,-0.027915,0.021888,IDM,Mainline
2.700000,-1217.046340,,24.756977,25.000000,-0.025889,-0.025889,0.020261,IDM,Mainline
2.800000,-1214.570762,,24.754575,25.000000,-0.024014,-0.024014,0.018754,IDM,Mainline
2.900000,-1212.095416,,24.752347,25.000000,-0.022278,-0.022278,0.017358,IDM,Mainline
3.000000,-1209.620285,,24.750280,25.000000,-0.020671,-0.020671,0.016065,IDM,Mainline
3.100000,-1207.145353,,24.748362,25.000000,-0.019185,-0.019185,0.014868,IDM,Mainline
3.200000,-1204.670605,,24.746581,25.000000,-0.017809,-0.017809,0.013759,IDM,Mainline
3.300000,-1202.196030,,24.744927,25.000000,-0.016535,-0.016535,0.012733,IDM,Mainline
3.400000,-1199.721614,,24.743392,25.000000,-0.015357,-0.015357,0.011782,IDM,Mainline
3.500000,-1197.247346,,24.741965,25.000000,-0.014267,-0.014267,0.010902,IDM,Mainline
3.600000,-1194.773216,,24.740639,25.000000,-0.013258,-0.013258,0.010087,IDM,Mainline
3.700000,-1192.299214,,24.739407,25.000000,-0.012325,-0.012325,0.009332,IDM,Mainline
3.800000,-1189.825330,,24.738261,25.000000,-0.011462,-0.011462,0.008634,IDM,Mainline
3.900000,-1187.351558,,24.737194,25.000000,-0.010663,-0.010663,0.007987,IDM,Mainline
4.000000,-1184.877888,,24.736202,25.000000,-0.009924,-0.009924,0.007388,IDM,Mainline
4.100000,-1182.404314,,24.735278,25.000000,-0.009241,-0.009241,0.006834,IDM,Mainline
4.200000,-1179.930829,,24.734417,25.000000,-0.008609,-0.008609,0.006321,IDM,Mainline
4.300000,-1177.457428,,24.733614,25.000000,-0.008024,-0.008024,0.005847,IDM,Mainline
4.400000,-1174.984104,,24.732866,25.000000,-0.007483,-0.007483,0.005408,IDM,Mainline
4.500000,-1172.510852,,24.732168,25.000000,-0.006983,-0.006983,0.005001,IDM,Mainline
4.600000,-1170.037668,,24.731516,25.000000,-0.006521,-0.006521,0.004625,IDM,Mainline
4.700000,-1167.564547,,24.730907,25.000000,-0.006093,-0.006093,0.004277,IDM,Mainline
4.800000,-1165.091484,,24.730337,25.000000,-0.005697,-0.005697,0.003955,IDM,Mainline
4.900000,-1162.618477,,24.729804,25.000000,-0.005332,-0.005332,0.003657,IDM,Mainline
5.000000,-1160.145522,,24.729304,25.000000,-0.004994,-0.004994,0.003381,IDM,Mainline
5.100000,-1157.672615,,24.728836,25.000000,-0.004681,-0.004681,0.003126,IDM,Mainline
5.200000,-1155.199753,,24.728397,25.000000,-0.004392,-0.004392,0.002890,IDM,Mainline
5.300000,-1152.726934,,24.727985,25.000000,-0.004125,-0.004125,0.002672,IDM,Mainline
5.400000,-1150.254155,,24.727597,25.000000,-0.003878,-0.003878,0.002470,IDM,Mainline
5.500000,-1147.781414,,24.727232,25.000000,-0.003649,-0.003649,0.002284,IDM,Mainline
5.600000,-1145.308708,,24.726888,25.000000,-0.003438,-0.003438,0.002111,IDM,Mainline
5.700000,-1142.836035,,24.726564,25.000000,-0.003243,-0.003243,0.001951,IDM,Mainline
5.800000,-1140.363394,,24.726257,25.000000,-0.003063,-0.003063,0.001804,IDM,Mainline
5.900000,-1137.890783,,24.725968,25.000000,-0.002896,-0.002896,0.001667,IDM,Mainline
6.000000,-1135.418200,,24.725694,25.000000,-0.002742,-0.002742,0.001541,IDM,Mainline
6.100000,-1132.945643,,24.725434,25.000000,-0.002599,-0.002599,0.001424,IDM,Mainline
6.200000,-1130.473112,,24.725187,25.000000,-0.002468,-0.002468,0.001316,IDM,Mainline
6.300000,-1128.000605,,24.724952,25.000000,-0.002346,-0.002346,0.001217,IDM,Mainline
6.400000,-1125.528121,,24.724729,25.000000,-0.002234,-0.002234,0.001124,IDM,Mainline
6.500000,-1123.055659,,24.724516,25.000000,-0.002130,-0.002130,0.001039,IDM,Mainline
6.600000,-1120.583218,,24.724313,25.000000,-0.002034,-0.002034,0.000960,IDM,Mainline
6.700000,-1118.110796,,24.724118,25.000000,-0.001945,-0.001945,0.000888,IDM,Mainline
6.800000,-1115.638394,,24.723932,25.000000,-0.001863,-0.001863,0.000820,IDM,Mainline
6.900000,-1113.166009,,24.723753,25.000000,-0.001787,-0.001787,0.000758,IDM,Mainline
7.000000,-1110.693643,,24.723582,25.000000,-0.001717,-0.001717,0.000700,IDM,Mainline
7.100000,-1108.221293,,24.723416,25.000000,-0.001652,-0.001652,0.000647,IDM,Mainline
7.200000,-1105.748959,,24.723257,25.000000,-0.001592,-0.001592,0.000598,IDM,Mainline
7.300000,-1103.276641,,24.723103,25.000000,-0.001537,-0.001537,0.000553,IDM,Mainline
7.400000,-1100.804338,,24.722955,25.000000,-0.001486,-0.001486,0.000511,IDM,Mainline
7.500000,-1098.332050,,24.722811,25.000000,-0.001439,-0.001439,0.000472,IDM,Mainline
7.600000,-1095.859776,,24.722671,25.000000,-0.001395,-0.001395,0.000436,IDM,Mainline
7.700000,-1093.387515,,24.722536,25.000000,-0.001355,-0.001355,0.000403,IDM,Mainline
7.800000,-1090.915268,,24.722404,25.000000,-0.001318,-0.001318,0.000373,IDM,Mainline
