Time,Position,Reference Position,Velocity,Reference Velocity,Acceleration,Input Acceleration,Jerk,Fuel Consumption,Controller,Lane ID
0.000000,-664.026745,,24.987681,25.000000,-0.123194,-0.123194,-1.231943,0.666000,IDM,Mainline
0.100000,-661.528578,,24.975645,25.000000,-0.120354,-0.120354,0.028401,1.332000,IDM,Mainline
0.200000,-659.031602,,24.963889,25.000000,-0.117558,-0.117558,0.027961,1.998000,IDM,Mainline
0.300000,-656.535787,,24.952409,25.000000,-0.114807,-0.114807,0.027512,2.664000,IDM,Mainline
0.400000,-654.041106,,24.941198,25.000000,-0.112101,-0.112101,0.027056,3.330000,IDM,Mainline
0.500000,-651.547534,,24.930254,25.000000,-0.109442,-0.109442,0.026594,3.996000,IDM,Mainline
0.600000,-649.055043,,24.919571,25.000000,-0.106829,-0.106829,0.026127,4.662000,IDM,Mainline
0.700000,-646.563607,,24.909145,25.000000,-0.104264,-0.104264,0.025657,5.328000,IDM,Mainline
0.800000,-644.073201,,24.898970,25.000000,-0.101745,-0.101745,0.025184,5.994000,IDM,Mainline
0.900000,-641.583800,,24.889043,25.000000,-0.099274,-0.099274,0.024710,6.660000,IDM,Mainline
1.000000,-639.095380,,24.879358,25.000000,-0.096851,-0.096851,0.024235,7.326000,IDM,Mainline
1.100000,-636.607917,,24.869910,25.000000,-0.094475,-0.094475,0.023761,7.992000,IDM,Mainline
1.200000,-634.121386,,24.860696,25.000000,-0.092146,-0.092146,0.023288,8.658000,IDM,Mainline
1.300000,-631.635766,,24.851709,25.000000,-0.089864,-0.089864,0.022816,9.324000,IDM,Mainline
1.400000,-629.151033,,24.842947,25.000000,-0.087630,-0.087630,0.022347,9.990000,IDM,Mainline
1.500000,-626.667166,,24.834402,25.000000,-0.085441,-0.085441,0.021881,10.656000,IDM,Mainline
1.600000,-624.184142,,24.826072,25.000000,-0.083300,-0.083300,0.021419,11.322000,IDM,Mainline
1.700000,-621.701941,,24.817952,25.000000,-0.081203,-0.081203,0.020961,11.988000,IDM,Mainline
1.800000,-619.220542,,24.810037,25.000000,-0.079153,-0.079153,0.020507,12.654000,IDM,Mainline
1.900000,-616.739924,,24.802322,25.000000,-0.077147,-0.077147,0.020057,13.320000,IDM,Mainline
2.000000,-614.260067,,24.794804,25.000000,-0.075186,-0.075186,0.019613,13.986000,IDM,Mainline
2.100000,-611.780953,,24.787477,25.000000,-0.073268,-0.073268,0.019174,14.652000,IDM,Mainline
2.200000,-609.302563,,24.780337,25.000000,-0.071394,-0.071394,0.018741,15.318000,IDM,Mainline
2.300000,-606.824877,,24.773381,25.000000,-0.069563,-0.069563,0.018314,15.984000,IDM,Mainline
2.400000,-604.347877,,24.766604,25.000000,-0.067773,-0.067773,0.017893,16.650000,IDM,Mainline
2.500000,-601.871547,,24.760001,25.000000,-0.066026,-0.066026,0.017478,17.316000,IDM,Mainline
2.600000,-599.395869,,24.753569,25.000000,-0.064319,-0.064319,0.017070,17.982000,IDM,Mainline
2.700000,-596.920825,,24.747304,25.000000,-0.062652,-0.062652,0.016668,18.648000,IDM,Mainline
2.800000,-594.446400,,24.741202,25.000000,-0.061025,-0.061025,0.016272,19.314000,IDM,Mainline
2.900000,-591.972577,,24.735258,25.000000,-0.059436,-0.059436,0.015884,19.980000,IDM,Mainline
3.000000,-589.499340,,24.729469,25.000000,-0.057886,-0.057886,0.015502,20.646000,IDM,Mainline
3.100000,-587.026675,,24.723832,25.000000,-0.056374,-0.056374,0.015127,21.312000,IDM,Mainline
3.200000,-584.554567,,24.718342,25.000000,-0.054898,-0.054898,0.014759,21.978000,IDM,Mainline
3.300000,-582.083000,,24.712996,25.000000,-0.053458,-0.053458,0.014397,22.644000,IDM,Mainline
3.400000,-579.611960,,24.707791,25.000000,-0.052054,-0.052054,0.014043,23.310000,IDM,Mainline
3.500000,-577.141435,,24.702723,25.000000,-0.050684,-0.050684,0.013695,23.976000,IDM,Mainline
3.600000,-574.671409,,24.697788,25.000000,-0.049349,-0.049349,0.013354,24.642000,IDM,Mainline
3.700000,-572.201871,,24.692983,25.000000,-0.048047,-0.048047,0.013021,25.308000,IDM,Mainline
3.800000,-569.732806,,24.688305,25.000000,-0.046777,-0.046777,0.012693,25.974000,IDM,Mainline
3.900000,-567.264203,,24.683751,25.000000,-0.045540,-0.045540,0.012373,26.640000,IDM,Mainline
4.000000,-564.796050,,24.679318,25.000000,-0.044334,-0.044334,0.012059,27.306000,IDM,Mainline
4.100000,-562.328334,,24.675002,25.000000,-0.043159,-0.043159,0.011752,27.972000,IDM,Mainline
4.200000,-559.861044,,24.670801,25.000000,-0.042014,-0.042014,0.011452,28.638000,IDM,Mainline
4.300000,-557.394168,,24.666711,25.000000,-0.040898,-0.040898,0.011158,29.304000,IDM,Mainline
4.400000,-554.927696,,24.662730,25.000000,-0.039811,-0.039811,0.010870,29.970000,IDM,Mainline
