Time,Position,Reference_Position,Velocity,Reference_Velocity,Acceleration,Input_Acceleration,Jerk,Fuel_Consumption,Controller,Lane_ID
0.000000,103.820374,,24.955706,25.000000,-0.442937,-0.442937,-4.429367,0.066600,IDM,Mainline
0.100000,106.313828,,24.913365,25.000000,-0.423414,-0.423414,0.195231,0.133200,IDM,Mainline
0.200000,108.803140,,24.872876,25.000000,-0.404887,-0.404887,0.185264,0.199800,IDM,Mainline
0.300000,111.288491,,24.834147,25.000000,-0.387295,-0.387295,0.175922,0.266400,IDM,Mainline
0.400000,113.770053,,24.797089,25.000000,-0.370579,-0.370579,0.167157,0.333000,IDM,Mainline
0.500000,116.247988,,24.761620,25.000000,-0.354687,-0.354687,0.158924,0.399600,IDM,Mainline
0.600000,118.722452,,24.727663,25.000000,-0.339569,-0.339569,0.151184,0.466200,IDM,Mainline
0.700000,121.193593,,24.695145,25.000000,-0.325179,-0.325179,0.143900,0.532800,IDM,Mainline
0.800000,123.661550,,24.663998,25.000000,-0.311475,-0.311475,0.137040,0.599400,IDM,Mainline
0.900000,126.126457,,24.634156,25.000000,-0.298417,-0.298417,0.130574,0.666000,IDM,Mainline
1.000000,128.588443,,24.605559,25.000000,-0.285970,-0.285970,0.124473,0.732600,IDM,Mainline
1.100000,131.047629,,24.578149,25.000000,-0.274099,-0.274099,0.118713,0.799200,IDM,Mainline
1.200000,133.504130,,24.551872,25.000000,-0.262771,-0.262771,0.113271,0.865800,IDM,Mainline
1.300000,135.958057,,24.526676,25.000000,-0.251959,-0.251959,0.108125,0.932400,IDM,Mainline
1.400000,138.409517,,24.502513,25.000000,-0.241633,-0.241633,0.103255,0.999000,IDM,Mainline
1.500000,140.858609,,24.479336,25.000000,-0.231769,-0.231769,0.098644,1.065600,IDM,Mainline
1.600000,143.305431,,24.457102,25.000000,-0.222341,-0.222341,0.094276,1.132200,IDM,Mainline
1.700000,145.750075,,24.435769,25.000000,-0.213328,-0.213328,0.090134,1.198800,IDM,Mainline
1.800000,148.192628,,24.415298,25.000000,-0.204708,-0.204708,0.086204,1.265400,IDM,Mainline
1.900000,150.633175,,24.395652,25.000000,-0.196460,-0.196460,0.082474,1.332000,IDM,Mainline
2.000000,153.071798,,24.376796,25.000000,-0.188567,-0.188567,0.078932,1.398600,IDM,Mainline
2.100000,155.508572,,24.358695,25.000000,-0.181010,-0.181010,0.075566,1.465200,IDM,Mainline
2.200000,157.943573,,24.341317,25.000000,-0.173774,-0.173774,0.072365,1.531800,IDM,Mainline
2.300000,160.376870,,24.324633,25.000000,-0.166842,-0.166842,0.069321,1.598400,IDM,Mainline
2.400000,162.808533,,24.308613,25.000000,-0.160200,-0.160200,0.066423,1.665000,IDM,Mainline
2.500000,165.238625,,24.293230,25.000000,-0.153833,-0.153833,0.063664,1.731600,IDM,Mainline
2.600000,167.667209,,24.278457,25.000000,-0.147730,-0.147730,0.061036,1.798200,IDM,Mainline
2.700000,170.094346,,24.264269,25.000000,-0.141876,-0.141876,0.058531,1.864800,IDM,Mainline
2.800000,172.520091,,24.250643,25.000000,-0.136262,-0.136262,0.056143,1.931400,IDM,Mainline
2.900000,174.944501,,24.237555,25.000000,-0.130875,-0.130875,0.053866,1.998000,IDM,Mainline
3.000000,177.367628,,24.224985,25.000000,-0.125706,-0.125706,0.051692,2.064600,IDM,Mainline
3.100000,179.789523,,24.212910,25.000000,-0.120745,-0.120745,0.049617,2.131200,IDM,Mainline
